,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,
2023-03-13,82.01000213623047,383.89483642578125,174.47999572753906,82.01000213623047,385.3599853515625,174.47999572753906,83.83000183105469,390.3900146484375,177.35000610351562,78.5199966430664,380.6499938964844,163.91000366210938,81.38999938964844,381.80999755859375,167.4600067138672,65269100,157790000,167790300
2023-03-14,87.44999694824219,390.24066162109375,183.25999450683594,87.44999694824219,391.7300109863281,183.25999450683594,88.30000305175781,393.45001220703125,183.8000030517578,83.58999633789062,387.04998779296875,177.13999938964844,83.66999816894531,390.5,177.30999755859375,66616300,149752400,143717900
2023-03-15,89.68000030517578,387.7999572753906,180.4499969482422,89.68000030517578,389.2799987792969,180.4499969482422,90.41999816894531,389.489990234375,182.33999633789062,86.22000122070312,383.7099914550781,176.02999877929688,86.7699966430664,385.8900146484375,180.8000030517578,86177400,172996900,145995600
2023-03-16,96.5999984741211,394.6039733886719,184.1300048828125,96.5999984741211,396.1099853515625,184.1300048828125,96.69000244140625,396.4700012207031,185.80999755859375,89.0199966430664,386.2900085449219,178.83999633789062,89.72000122070312,386.82000732421875,180.3699951171875,115839200,143254200,121136800
2023-03-17,97.83999633789062,389.989990234375,180.1300048828125,97.83999633789062,389.989990234375,180.1300048828125,98.75,394.3999938964844,186.22000122070312,95.94000244140625,388.54998779296875,177.3300018310547,96.66000366210938,393.2200012207031,184.52000427246094,94080800,140553400,133197100
2023-03-20,96.80999755859375,393.739990234375,183.25,96.80999755859375,393.739990234375,183.25,96.94000244140625,394.1700134277344,186.44000244140625,92.9000015258789,390.07000732421875,176.35000610351562,96.30000305175781,390.79998779296875,178.0800018310547,92008900,93055800,129684400
2023-03-21,95.93000030517578,398.9100036621094,197.5800018310547,95.93000030517578,398.9100036621094,197.5800018310547,99.45999908447266,399.4100036621094,198.0,93.63999938964844,395.5799865722656,188.0399932861328,97.0,397.239990234375,188.27999877929688,85285300,91524200,153391400
2023-03-22,97.58000183105469,392.1099853515625,191.14999389648438,97.58000183105469,392.1099853515625,191.14999389648438,101.69999694824219,402.489990234375,200.66000366210938,95.63999938964844,392.07000732421875,190.9499969482422,95.6500015258789,398.7300109863281,199.3000030517578,110816300,111746600,150376400
2023-03-23,100.27999877929688,393.1700134277344,192.22000122070312,100.27999877929688,393.1700134277344,192.22000122070312,102.43000030517578,399.2900085449219,199.30999755859375,98.66999816894531,390.3500061035156,188.64999389648438,100.05000305175781,395.0899963378906,195.25999450683594,84088900,119351300,144193900
2023-03-24,97.94999694824219,395.75,190.41000366210938,97.94999694824219,395.75,190.41000366210938,99.5199966430664,395.8399963378906,192.36000061035156,96.73999786376953,389.3999938964844,187.14999389648438,99.18000030517578,391.8399963378906,191.64999389648438,64712400,107682400,116312400
